{'size': {'x': 0.06246457203011188, 'y': 0.10208048029139596, 'z': 0.07371521428839439}, 'origin': {'x': 0.12577011178033115, 'y': -0.4009104364966612, 'z': 0.2178871032379264}}
{'size': {'x': 0.03789532177484726, 'y': 0.052736591454140974, 'z': 0.0742098065137934}, 'origin': {'x': 0.28197945989451145, 'y': -0.005220672949579341, 'z': 0.8352261076126953}}
{'size': {'x': 0.04951046561877576, 'y': 0.05658002230361407, 'z': 0.04166513525931184}, 'origin': {'x': -0.016133366518910786, 'y': -0.4161711549520144, 'z': 0.8360312176030977}}
{'size': {'x': 0.02692948032351203, 'y': 0.025693725342147866, 'z': 0.022299102001880365}, 'origin': {'x': 0.47001612119650726, 'y': 0.46021375120798513, 'z': 0.847225246119995}}
{'size': {'x': 0.07402263099658887, 'y': 0.08156000520887419, 'z': 0.050767034282265935}, 'origin': {'x': 0.35810266310461725, 'y': 0.13402048194156424, 'z': 0.15042680307679723}}
{'size': {'x': 0.026362093308762227, 'y': 0.029468849468378876, 'z': 0.027166221364910908}, 'origin': {'x': -0.26137557798459155, 'y': -0.11554216715211962, 'z': 0.6998974306845637}}
{'size': {'x': 0.11875522114592314, 'y': 0.09445933991711508, 'z': 0.10259310085516075}, 'origin': {'x': -0.21424822490521422, 'y': 0.39741068655335055, 'z': 0.4551151706931204}}
{'size': {'x': 0.09771787957906565, 'y': 0.1799712708558893, 'z': 0.06415754528091396}, 'origin': {'x': 0.054422807235313786, 'y': 0.24740418476188875, 'z': 0.484345632012568}}
{'size': {'x': 0.07312578463184093, 'y': 0.051651241974930415, 'z': 0.08978689892176211}, 'origin': {'x': 0.29500279135605534, 'y': -0.4342612146505127, 'z': 0.20251940766820442}}
{'size': {'x': 0.11790446995723755, 'y': 0.10038116387691619, 'z': 0.07759909430786055}, 'origin': {'x': -0.16978435873613268, 'y': -0.4458976308131468, 'z': 0.3698301290309321}}
{'size': {'x': 0.02847235683411294, 'y': 0.06058870594413926, 'z': 0.0614586093528166}, 'origin': {'x': -0.4063533209563802, 'y': 0.1996492043860878, 'z': 0.17271762356798306}}
{'size': {'x': 0.059630086960979954, 'y': 0.08571228010038597, 'z': 0.08543060046430956}, 'origin': {'x': 0.2880185773699373, 'y': 0.20313431447685137, 'z': 0.2803366958136054}}
{'size': {'x': 0.047752790161488055, 'y': 0.07708655681172201, 'z': 0.07456408705938398}, 'origin': {'x': 0.18011626936307223, 'y': 0.0752189075380515, 'z': 0.17251910829778086}}
{'size': {'x': 0.03414940106647471, 'y': 0.03759296279126681, 'z': 0.03610243992842842}, 'origin': {'x': 0.28856551927715546, 'y': -0.034303599150511954, 'z': 0.3861905875689715}}
{'size': {'x': 0.045657242211355066, 'y': 0.04369776802899989, 'z': 0.05284617783202603}, 'origin': {'x': 0.11756945378538852, 'y': 0.2104417957333482, 'z': 0.9152922293858083}}
{'size': {'x': 0.09576954049393865, 'y': 0.14429510226471892, 'z': 0.08791247099653343}, 'origin': {'x': -0.33334924900331137, 'y': 0.20579294419302085, 'z': 0.26814524718100674}}
{'size': {'x': 0.11983824031049035, 'y': 0.04446426697006231, 'z': 0.12563913311232516}, 'origin': {'x': 0.017973121083595944, 'y': 0.21003423793110287, 'z': 0.33089091136268417}}
{'size': {'x': 0.03344578749067032, 'y': 0.026731519054344163, 'z': 0.027846205696793684}, 'origin': {'x': 0.20511942576794484, 'y': -0.40198021626483726, 'z': 0.49031281003896143}}
{'size': {'x': 0.08719090867791539, 'y': 0.07012962200380457, 'z': 0.06195291929050381}, 'origin': {'x': -0.15004224380755743, 'y': -0.18999511784367834, 'z': 0.903668105330224}}
{'size': {'x': 0.07825284780024973, 'y': 0.05860132935310375, 'z': 0.07110446841194372}, 'origin': {'x': -0.44415613703132484, 'y': 0.3803426763908563, 'z': 0.7017928558200007}}
{'size': {'x': 1, 'y': 1, 'z': 1}, 'origin': {'x': -0.5, 'y': -0.5, 'z': -1.01}}
